LUGAR,MUNICIPIO,CALLE,NÚMERO,NÚMERO INTERIOR,HORARIO,TIPO,ENTIDAD DE GOBIERNO,LATITUD,LONGITUD,INFORMACION COMPLEMENTARIA,FECHA ACTUALIZACIÓN
Dirección de Educación Telesecundaria,Zapopan,Avenida Central,615,,9:00 a 18:00 Horas,,,20.6318306,-103.46059969999999," Zapopan Avenida Central 615 45136 3678-7530 9:00 a 18:00 Horas 20.6318306-103.46059969999999 ",2013-04-23T20:55:53Z
Centros de Atencion Infantil DIF,,,,,,,,,,,2013-04-23T20:55:53Z
CIDEP &quot;Tayeiyari&quot;,Zapopan,"Avenida Zoquipan\, Colonia Zoquipan",1225,,8:00 a 17:30 Horas,,,,," Zapopan Avenida Zoquipan, Colonia Zoquipan 1225 38232415 8:00 a 17:30 Horas ",2013-04-23T20:55:53Z
Coordinación Estatal del Programa Niños Migrantes,Zapopan,Av. Central,615,,De 9:00 a 16:00 hrs.,,,,," Zapopan Av. Central 615 45136 36787500 Ext. 54948, 54949 De 9:00 a 16:00 hrs. ",2013-04-23T20:55:53Z
"írea de Educación Preescolar de las Delegaciones Regionales (DRSES).",,Conocidos,,,9:00 a 15:00 Horas,,,20.1540195,-103.914399," Conocidos Conocidos 9:00 a 15:00 Horas 20.1540195-103.914399 ",2013-04-23T20:55:53Z
Programa Estatal Escuela Siempre Abierta,Guadalajara,"Lerdo de Tejada\, Col. Arcos Vallarta",2640,,De 8:00 a 17:00 hrs.,,,20.6704532,-103.38371610000002," Guadalajara Lerdo de Tejada, Col. Arcos Vallarta 2640 36305636, 36305802 De 8:00 a 17:00 hrs. 20.6704532-103.38371610000002 ",2013-04-23T20:55:53Z
Dirección General de Educación Preescolar,Zapopan,Avenida Central,615,,9:00 a 18:00 Horas,,,,," Zapopan Avenida Central 615 45136 36787532 9:00 a 18:00 Horas ",2013-04-23T20:55:53Z
Material Didáctico Estatal,Guadalajara,"Andrés Terán\, Colonia Chapultepec Country",1823,,Lunes a Viernes 9:00  a 13:00 Hrs.,,,,," Guadalajara Andrés Terán, Colonia Chapultepec Country 1823 38541576, 38542728 Lunes a Viernes 9:00 a 13:00 Hrs. ",2013-04-23T20:55:53Z
"Secretarí­a de Trabajo y Previsión Social, Servicio Nacional del Empleo Jalisco",Puerto Vallarta,Carretera Aeropuerto,Km 8,,Lunes a viernes 08:00 a 16:00 horas.,,,,," Puerto Vallarta Carretera Aeropuerto Km 8 Fraccionamiento Marina Vallarta 48354 01 322 293 78 83 Lunes a viernes 08:00 a 16:00 horas. ",2015-05-29T19:03:51Z
Material Didáctico Federal,Zapopan,"Prolongación Emilio Carranza\, Colonia El Vigí­a",1185,,Lunes a Viernes 9:00  a 13:00 Hrs.,,,,," Zapopan Prolongación Emilio Carranza, Colonia El Vigí­a 1185 38369320 Lunes a Viernes 9:00 a 13:00 Hrs. ",2013-04-23T20:55:53Z
"Secretarí­a de Trabajo y Previsión Social, Servicio Nacional del Empleo Jalisco",,Presidencia Municipal del H. Ayto. de Autlán de Navarro,,,Lunes a viernes 08:00 a 16:00 horas.,,,,," Presidencia Municipal del H. Ayto. de Autlán de Navarro 01 317 382 11 27 y 01 317 382 32 31 Lunes a viernes 08:00 a 16:00 horas. ",2015-05-29T19:04:13Z
"Centro de Atención, Capacitación y Desarrollo del Consejo Estatal contra las Adicciones ",Guadalajara,Fidel Velázquez,1397,,Lunes a viernes de 9:00 a 17:00 hrs.,,,,," Guadalajara Fidel Velázquez 1397 44219 (01 33) 38-54-76-36 y 38-54-78-59 32-80-23-12 Lunes a viernes de 9:00 a 17:00 hrs. ",2013-04-23T20:55:53Z
"Secretarí­a de Trabajo y Previsión Social, Servicio Nacional del Empleo Jalisco",Lagos de Moreno,"Pedro Moreno ",321,,Lunes a viernes 08:00 a 16:00 horas.,,,,," Lagos de Moreno Pedro Moreno 321 01 474 74 26106 Lunes a viernes 08:00 a 16:00 horas. ",2015-05-29T19:04:34Z
"Secretarí­a de Trabajo y Previsión Social, Servicio Nacional del Empleo Jalisco",Zapotlán el Grande,Pascual Galindo y Ceballos,114,,Lunes a viernes 08:00 a 16:00 horas.,,,19.7039553,-103.46311000000003," Zapotlán el Grande Pascual Galindo y Ceballos 114 01 341 412 8575 y 01 341 412 5550 Lunes a viernes 08:00 a 16:00 horas. 19.7039553-103.46311000000003 ",2015-05-29T19:04:57Z
"Secretarí­a de Trabajo y Previsión Social, Junta Especial de Conciliación y Arbitraje",,Obregón,384,,Lunes a viernes 08:00 a 16:00 horas.,,,,," Obregón 384 01 317 382 47 97, 01 317 382 48 32 y 01 317 382 47 88 Lunes a viernes 08:00 a 16:00 horas. ",2015-05-29T18:47:00Z
"Procuradurí­a Social Coordinación Regional Zona Sur ",Zapotlán el Grande,"Maestra Refugio Barragán de Toscano ",14,"3 y 4 ","Lunes a viernes de 8:30 a 16:00 ",,,,," Zapotlán el Grande Maestra Refugio Barragán de Toscano 14 3 y 4 49000 013414123575 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
"Secretarí­a de Trabajo y Previsión Social, Junta Especial de Conciliación y Arbitraje",Ocotlán,Francisco I. Madero,44,,Lunes a viernes 08:00 a 16:00 horas.,,,,," Ocotlán Francisco I. Madero 44 01 392 92 25372 Lunes a viernes 08:00 a 16:00 horas. ",2015-05-29T18:46:25Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Costa Sur ",Unión de Tula,"Juárez ",19,,"Lunes a viernes de 8:30 a 16:00 ",,,,," Unión de Tula Juárez 19 48000 013163712350 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
"Secretarí­a de Trabajo y Previsión Social, Junta Especial de Conciliación y Arbitraje",Lagos de Moreno,Pedro Moreno,331,,Lunes a viernes 08:00 a 16:00 horas.,,,,," Lagos de Moreno Pedro Moreno 331 01 474 74 24546 Lunes a viernes 08:00 a 16:00 horas. ",2015-05-29T18:47:50Z
Procuradurí­a Social oficina del la Coordinación Regional Zona Costa Sur,Cihuatlán,Obregón,11,"6 Planta Baja ","Lunes a viernes de 8:30 a 16:00 ",,,19.2376849,-104.55849820000003," Cihuatlán Obregón 11 6 Planta Baja 48970 013153551499 Lunes a viernes de 8:30 a 16:00 19.2376849-104.55849820000003 ",2013-04-23T20:55:53Z
"Secretarí­a de Trabajo y Previsión Social, Junta Especial de Conciliación y Arbitraje",Zapotlán el Grande,"Pascual Galindo y Ceballos ",114,,Lunes a viernes 08:00 a 16:00 horas.,,,,," Zapotlán el Grande Pascual Galindo y Ceballos 114 01 341 41 20020 Lunes a viernes 08:00 a 16:00 horas. ",2015-05-29T18:47:23Z
"Procuradurí­a Social Coordinación Regional Zona Costa Sur ",,"Obregón ",55,3,"Lunes a viernes de 8:30 a 16:00 ",,,,," Obregón 55 3 48900 013173821307 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
"Secretarí­a de Trabajo y Previsión Social, Junta Especial de Conciliación y Arbitraje",Puerto Vallarta,Lisboa,147,,Lunes a viernes 08:00 a 16:00 horas.,,,20.6324936,-105.22415760000001," Puerto Vallarta Lisboa 147 01 322 22 52090 Y 01 322 22 52091 Lunes a viernes 08:00 a 16:00 horas. 20.6324936-105.22415760000001 ",2015-05-29T18:49:57Z
Procuradurí­a Social oficina del la Coordinación Regional Zona Valles,Tequila,"CEINJURE Carretera Internacional Km 55 Camino el Maloaste Km 1.5 ",,,"Lunes a viernes de 8:30 a 16:00 ",,,,," Tequila CEINJURE Carretera Internacional Km 55 Camino el Maloaste Km 1.5 46400 013747424087 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Valles ",Tala,"Herrera y Cairo ",93,,"Lunes a viernes de 8:30 a 16:00 ",,,,," Tala Herrera y Cairo 93 45300 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Valles ",Cocula,"Ramón Corona ",73,,"Lunes a viernes de 8:30 a 16:00 ",,,,," Cocula Ramón Corona 73 48500 013777735514 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Valles ",Ahualulco de mercado,"Prolongación 5 de mayo ",85,2,Lunes a viernes de 8:30 a 16:00,,,20.6956432,-103.97061859999997," Ahualulco de mercado Prolongación 5 de mayo 85 2 46730 013867522697 Lunes a viernes de 8:30 a 16:00 20.6956432-103.97061859999997 ",2013-04-23T20:55:53Z
"Procuradurí­a Social Coordinación Regional Zona Valles ",Ameca,"Toluquilla ",2,,Lunes a viernes de 8:30 a 16:00,,,,," Ameca Toluquilla 2 46600 013757559358 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
Dirección de Mantenimiento a la Infraestructura Tecnológica en las Escuelas,Zapopan,"Helios\, Fracc. Mirador del Sol",1217,,9:00 a 17:00 hrs.,,,,," Zapopan Helios, Fracc. Mirador del Sol 1217 36786812 9:00 a 17:00 hrs. ",2013-04-23T20:55:53Z
Apoyo al Programa Escuelas de Tiempo Completo,Guadalajara,"Av. Vallarta\, Col. Americana ",1076,,Lunes a Viernes 9:00  a 17:00 Hrs.,,,,," Guadalajara Av. Vallarta, Col. Americana 1076 44160 38549430, 32801412 Lunes a Viernes 9:00 a 17:00 Hrs. ",2013-04-23T21:51:10Z
"Órgano Ejecutor de las Acciones Compensatorias para Abatir el Rezago en Educación Inicia",Guadalajara,"Av. Juárez\, Edificio Emisa segundo piso",323,,Lunes a Viernes de 9:00 a 17:00 Hrs.,,,,," Guadalajara Av. Juárez, Edificio Emisa segundo piso 323 30.3076.15 Ext.: 57615 Lunes a Viernes de 9:00 a 17:00 Hrs. ",2014-10-20T19:29:30Z
Dirección de Universidades Tecnológicas e Incorporadas,Zapopan,"Av. Central Col. Residencial Poniente. Zapopan\, Jalisco.","615 ",,8:30 - 18:00hrs,Oficina de Gobierno,,,," Zapopan Av. Central Col. Residencial Poniente. Zapopan, Jalisco. 615 45136 36-78-75-80 Ext. 53565 8:30- 18:00hrs ",2013-07-03T18:13:09Z
Programas de Apoyo a la Educación Artí­stica y Tecnológica.,Guadalajara,Efraín González Luna,2186,,Lunes a Viernes 9:00 a 17:00 hrs.,,,20.6745479,-103.36985870000001," Guadalajara Efraín González Luna 2186 Laffayette 38549430 y 38549434 Lunes a Viernes 9:00 a 17:00 hrs. 20.6745479-103.36985870000001 ",2014-10-20T19:40:30Z
Dirección de Programas Compensatorios y de Apoyo,Zapopan,"Av. Central\, Col. Residencial Poniente\, Zapopan",615,,Lunes a Viernes de 8:00 a 18:00 horas,,,,," Zapopan Av. Central, Col. Residencial Poniente, Zapopan 615 45136 30307500 Ext. 54948 y 54949 Lunes a Viernes de 8:00 a 18:00 horas ",2014-10-20T19:38:56Z
Dirección de Programas para el Desarrollo y Bienestar Escolar,Guadalajara,"Av. ívila Camacho 4Â° piso. Colonia Miraflores\, Guadalajara\, Jalisco.",1015,,De 9:00 a 17:00 hrs.,,,,," Guadalajara Av. ívila Camacho 4Â° piso. Colonia Miraflores, Guadalajara, Jalisco. 1015 (01 33) 38-19-59-51 Ext 56007 De 9:00 a 17:00 hrs. ",2013-04-23T20:55:55Z
Dirección de Mantenimiento a la Infraestructura Tecnológica en las Escuelas,Guadalajara,"Helios\, Col. Fracc. Mirador del Sol",1217,,9:00 a 17:00 hrs.,,,,," Guadalajara Helios, Col. Fracc. Mirador del Sol 1217 (01-33)-36-78-68-12 9:00 a 17:00 hrs. ",2013-04-23T20:55:55Z
Programa Nacional de Lectura,Guadalajara,"Federalismo\, segundo piso Col. San Miguel de Mezquitán","1809 ",,de 9:00 a 18:00 hrs.,,,,," Guadalajara Federalismo, segundo piso Col. San Miguel de Mezquitán 1809 (01) 33-31-26-31-34 de 9:00 a 18:00 hrs. ",2013-04-23T21:53:24Z
"Procuradurí­a Social ",Guadalajara,"Calle 14 entre las calles 3 y 5 Zona Industrial ",2567,,Lunes a Viernes de 9:00 a 21:00,,,,," Guadalajara Calle 14 entre las calles 3 y 5 Zona Industrial 2567 44940 38376000 ExtensiÃ³n 12153 Lunes a Viernes de 9:00 a 21:00 ",2013-04-23T20:55:55Z
"Procuradurí­a Social Tutelar ",Zapopan,"Puerto Guaymas ",100,,,,,,," Zapopan Puerto Guaymas 100 10281911 ",2013-04-23T20:55:55Z
"Procuradurí­a Social Puente Grande ",Zapotlanejo,"Carretera libre a Zapotlanejo Kilometro 17.5 ",,,Lunes a viernes de 9:00 a 15:00,,,,," Zapotlanejo Carretera libre a Zapotlanejo Kilometro 17.5 30302916 Lunes a viernes de 9:00 a 15:00 ",2013-04-23T20:55:55Z
Procuradurí­a Social oficina del la Coordinación Regional Zona Altos Sur,Yahualica de González Gallo,"Juárez\, Presidencia Municipal ","28 ",,"Lunes a viernes de 8:30 a 16:00 ",,,,," Yahualica de González Gallo Juárez, Presidencia Municipal 28 47300 013447842779 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:55Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Altos Sur ",Jalostotitlán,Portal de las Flores,5,2,"Lunes a viernes de 8:30 a 16:00 ",,,20.6038641,-103.35117359999998," Jalostotitlán Portal de las Flores 5 2 47120 014317463412 Lunes a viernes de 8:30 a 16:00 20.6038641-103.35117359999998 ",2013-04-23T20:55:55Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Altos Sur ",Arandas,Obregón,50,,"Lunes a viernes de 8:30 a 16:00 ",,,,," Arandas Obregón 50 47180 013487835107 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:55Z
Dirección de Educación Inicial,Guadalajara," Av. Avila Camacho 4Â°Piso y Av. Central",615,,9: 00 a 15:00 hrs,,,,," Guadalajara Av. Avila Camacho 4Â°Piso y Av. Central 615 36 78 75 31 y 38 19 59 53 9: 00 a 15:00 hrs ",2013-04-23T20:55:55Z
"Dirección de Educación Secundaria General ",Zapopan,"Av. Central\, Col. Residencial Poniente\, Zapopan",615,,9:00 A 18:00 hrs,,,,," Zapopan Av. Central, Col. Residencial Poniente, Zapopan 615 45136 (33) 36 78 75 30 y 36 78 75 34 9:00 A 18:00 hrs ",2013-04-23T20:55:55Z
Secundaria Técnica,Zapopan,"Av. Central\, Col. Residencial Poniente\, Zapopan",615,,9:00 a 15:00 horas,,,,," Zapopan Av. Central, Col. Residencial Poniente, Zapopan 615 45136 01 33 36 78 75 35 9:00 a 15:00 horas ",2013-04-23T20:55:55Z
Dirección de Educación Telesecundaria,Zapopan,"Av.Central\, Col. Residencial Poniente.\, Zapopan\, Jal.",615,,De 9:00 a 18:00Hrs,,,,," Zapopan Av.Central, Col. Residencial Poniente., Zapopan, Jal. 615 45136 01 (33) 3678-7530 De 9:00 a 18:00Hrs ",2013-04-23T20:55:55Z
Dirección de Gestión y Operación,Zapopan,"Av. Central\, Col. Residencial Poniente\, Zapopan",615,,09:00 a las 19:00 horas,,,20.7208835,-103.42601200000001," Zapopan Av. Central, Col. Residencial Poniente, Zapopan 615 45136 01 33 3678 7533 Ext. 54939 54974 09:00 a las 19:00 horas 20.7208835-103.42601200000001 ",2013-04-23T20:55:55Z
Dirección de Proyectos Educativos,Zapopan,"Av. Central\, Col. Residencial Poniente\, Zapopan",615,,09:00 a las 16:00 horas,,,,," Zapopan Av. Central, Col. Residencial Poniente, Zapopan 615 45136 01 33 3678 7533, Ext. 54940, 54967, 54968 09:00 a las 16:00 horas ",2013-04-23T20:55:55Z
Programas Compensatorios y de Apoyo,Guadalajara,"Lerdo de Tejada\, Col. Arcos Vallarta",2640,,9:00 a 17:00Hrs,,,,," Guadalajara Lerdo de Tejada, Col. Arcos Vallarta 2640 (01-33) 36-30-56-36; 36-30-58-02 9:00 a 17:00Hrs ",2013-04-23T20:55:55Z
Dirección de Programas de Tecnologí­a en el Aula,Guadalajara,"Heliosk\, Col. Fracc. Mirador del sol. Zapopan\, Jalisco.",1217,,"8:00 a 14:00 hrs. ",,,,," Guadalajara Heliosk, Col. Fracc. Mirador del sol. Zapopan, Jalisco. 1217 (01 33) 36-78-68-02 8:00 a 14:00 hrs. ",2013-04-23T20:55:55Z
Dirección de Psicopedagogí­a,Guadalajara,"Donato Guerra\, Col. Centro",295,,8:00 a.m. a 8:00 p.m.,,,,," Guadalajara Donato Guerra, Col. Centro 295 (33) 36-14-18-62 8:00 a.m. a 8:00 p.m. ",2013-04-23T20:55:55Z
Dirección de Educación Fí­sica y Deporte,Guadalajara,"Av. Vallarta ",1076,,09:00-13:00 hrs.,,,20.6744109,-103.40009220000002," Guadalajara Av. Vallarta 1076 12043592 09:00-13:00 hrs. 20.6744109-103.40009220000002 ",2013-04-23T20:55:55Z
Dirección de Becas,Guadalajara,"Av. Prolongación Alcalde\, Edificio &quot;B&quot; Torre de Educación 10° Piso.",1351,,De 9:00 a 19:00 Hrs.,,Secretaría de Educación,20.696953161452356,-103.34830284118652," Guadalajara Av. Prolongación Alcalde, Edificio &quot;B&quot; Torre de Educación 10° Piso. 1351 Miraflores 44260 3819-27-75 y 3819-27-00 Ext. 22775 De 9:00 a 19:00 Hrs. 20.696953161452356-103.34830284118652 Secretaría de Educación ",2013-09-24T17:44:08Z
Dirección de Educación Indí­gena,Zapopan,"Av. Central\, Col. Residencial Poniente\, Zapopan",615,,de 9:00 a 14:00 horas,,,,," Zapopan Av. Central, Col. Residencial Poniente, Zapopan 615 45136 01 33 36 78 75 38 de 9:00 a 14:00 horas ",2013-04-23T20:55:55Z
Estadí­stica y Sistemas de Información,Zapopan,"Avenida Central\, Colonia Residencial Poniente",615,,9:00 a 15:00 hrs,,,,," Zapopan Avenida Central, Colonia Residencial Poniente 615 45136 36-78-75-21 y 36-78-75-26 9:00 a 15:00 hrs ",2013-04-23T20:55:55Z
Dirección de Educación Especial,Zapopan,"Av. Central\, Col. Residencial Poniente\, Zapopan",615,,,,,,," Zapopan Av. Central, Col. Residencial Poniente, Zapopan 615 45136 36787537 ",2013-04-23T20:55:55Z
Dirección de Planeación y Programas de Infraestructura,Guadalajara,"Av. Manuel ívila Camacho\, Piso 7",1015,,9:00 a 18:00 hrs.,,,,," Guadalajara Av. Manuel ívila Camacho, Piso 7 1015 38 19 59 63 9:00 a 18:00 hrs. ",2013-04-23T20:55:55Z
Secretaria Particular,Guadalajara,"Av. Prolongación Alcalde\, Piso 10",1351,,9:00 a 15:00 hrs,,,,," Guadalajara Av. Prolongación Alcalde, Piso 10 1351 38-19-27-79 9:00 a 15:00 hrs ",2013-04-23T20:55:55Z
Participación Social,Guadalajara,"Av. Alcalde\, Edificio C\, Planta Baja",1351,,9:00   a  18:00    Hrs.,,,,," Guadalajara Av. Alcalde, Edificio C, Planta Baja 1351 (33) 38 19 27 26 9:00 a 18:00 Hrs. ",2013-04-23T20:55:55Z
"Comunicación Social, Ediciones y Publicaciones",Guadalajara,"Av. Alcalde Edificio C\, Sótano","#1351",,9:00 a 12:00 horas,Oficina de Gobierno,,31.851556,-116.5728494," Guadalajara Av. Alcalde Edificio C, Sótano #1351 38192705 9:00 a 12:00 horas 31.851556-116.5728494 ",2013-07-03T18:16:55Z
"Dirección de Incorporación, revalidación y equivalencias",Zapopan,"Av. Central\, Col. Residencial Poniente",615,,09:00 a 15:00 horas.,,,20.7273342,-103.43100670000001," Zapopan Av. Central, Col. Residencial Poniente 615 45136 (33) 36 78 75 23 09:00 a 15:00 horas. 20.7273342-103.43100670000001 ",2013-04-23T20:55:55Z
Relaciones Internacionales,Guadalajara,Av. Alcalde,"1351 "," Piso 7",9:00 a 14:00 hrs. y  16:00 a 19:00 hrs,,,20.7110531,-103.34639449999997," Guadalajara Av. Alcalde 1351 Piso 7 38192706 9:00 a 14:00 hrs. y 16:00 a 19:00 hrs 20.7110531-103.34639449999997 ",2013-05-03T18:12:58Z
Dirección de Control Escolar de Educación Normal y Superior,Guadalajara,Manuel Camacho,1015,Planta baja,09:00 a 15:00 horas.,,,20.7053291,-103.3644109," Guadalajara Manuel Camacho 1015 Planta baja Miraflores 44280 (33) 38 19 59 61 09:00 a 15:00 horas. 20.7053291-103.3644109 ",2013-04-24T22:57:48Z
"Procuradurí­a Social Coordinación Regional Zona Altos Sur ",Tepatitlán de Morelos,"Pedro Medina ",91,11,"Lunes a viernes de 8:30 a 16:00 ",,,,," Tepatitlán de Morelos Pedro Medina 91 11 47600 013787813903 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:55Z
Procuradurí­a Social oficina del la Coordinación Regional Zona Costa Norte,Mascota,"Matamoros ",2,4,"Lunes a viernes de 8:30 a 16:00 ",,,,," Mascota Matamoros 2 4 46900 013883861829 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:55Z
Proyectos Educativos de Educación Preescolar,Zapopan,"Av. Central\, Col. Residencial Poniente",615,,De 8:00 a.m. a 4:00 p.m.,,,,," Zapopan Av. Central, Col. Residencial Poniente 615 45136 (33) 36-78-75-32 ext. 55208 y 55209 De 8:00 a.m. a 4:00 p.m. ",2013-04-23T20:55:55Z
Procuradurí­a Social Coordinación Regional Zona Costa Norte,Puerto Vallarta,"Vicente Guerrero ",200,6,"Lunes a viernes de 8:30 a 16:00 ",,,,," Puerto Vallarta Vicente Guerrero 200 6 48300 013222816603 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:55Z
Gestión y Operación de Educación Preescolar,Zapopan,"Av. Central\, Col. Residencial Poniente\, Zapopan",615,,9:00 A 14:30 hrs,,,,," Zapopan Av. Central, Col. Residencial Poniente, Zapopan 615 45136 (33) 38-19-27-27 Ext. 55217 Y 55220 9:00 A 14:30 hrs ",2013-04-23T20:55:55Z
Fondo Jalisco de Fomento Empresarial- FOJAL,Guadalajara,López Mateos Norte,1135,,8:30 am A 5:00 pm,Oficina de Gobierno,"Fondo Jalisco de Fomento Empresarial- FOJAL,Organismos",20.694764,-103.37385039999998," Guadalajara López Mateos Norte 1135 Italia Providencia 44648 3615-5557 8:30 am A 5:00 pm 20.694764-103.37385039999998 Fondo Jalisco de Fomento Empresarial- FOJAL ",2014-05-02T16:03:41Z
Unidad de Transparencia,Guadalajara,"Av. Prolongación Alcalde\, Edif. Torre de Educación Planta Baja",1351,,9:00 a 15:00 horas.,,,,," Guadalajara Av. Prolongación Alcalde, Edif. Torre de Educación Planta Baja 1351 38-19-27-17, ext.22773, 25337 9:00 a 15:00 horas. ",2013-04-23T20:55:55Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Cienega ",Chapala,Juárez,575,C,"Lunes a viernes de 8:30 a 16:00 ",,,20.2912282,-103.19122229999999," Chapala Juárez 575 C 45900 013767655899 Lunes a viernes de 8:30 a 16:00 20.2912282-103.19122229999999 ",2013-04-23T20:55:55Z
Mayor Información: Dirección General de Atención a la Comunidad Educativa,Guadalajara,"Av. Prolongación Alcalde\, Edif. Torre de Educación Planta Baja",1351,,9:00 a 19:00 hrs,,,,," Guadalajara Av. Prolongación Alcalde, Edif. Torre de Educación Planta Baja 1351 38-19-27-17 9:00 a 19:00 hrs ",2013-10-25T16:51:12Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Cienega ",La Barca,Presidencia Municipal calle Juárez,100,,"Lunes a viernes de 8:30 a 16:00 ",,,,," La Barca Presidencia Municipal calle Juárez 100 47910 013937595228 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:55Z
Dirección de Evaluación del Sistema Educativo Estatal,Guadalajara,"Av. Plan de San Luis\, Col. Chapultepec Country\, Guad.",1952,,De 9:00 a 18:00hrs.,,,20.6970295,-103.36733879999997," Guadalajara Av. Plan de San Luis, Col. Chapultepec Country, Guad. 1952 38 24 09 20, 67 y 85 De 9:00 a 18:00hrs. 20.6970295-103.36733879999997 ",2013-04-23T20:55:55Z
Dirección de Evaluación para el Fortalecimiento Educativo,Guadalajara,"Av. Plan de San Luis\, Col. Chapultepec Country",1952,,De 9:00 a 20:00hrs,,,,," Guadalajara Av. Plan de San Luis, Col. Chapultepec Country 1952 38 24 09 20, 67 y 85 De 9:00 a 20:00hrs ",2013-04-23T20:55:55Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Cienega ",Atotonilco el Alto,"Unidad Administrativa Benito Juárez ",,5,"Lunes a viernes de 8:30 a 16:00 ",,,,," Atotonilco el Alto Unidad Administrativa Benito Juárez 5 013919173987 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:55Z
"Procuradurí­a Social Coordinación Regional Zona Cienega ",Ocotlán,"Plaza San Felipe Avenida Universidad ",950,6,"Lunes a viernes de 8:30 a 16:00 ",,,,," Ocotlán Plaza San Felipe Avenida Universidad 950 6 47850 013929259486 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Altos Norte ",Teocaltiche,"Presidencia Municipal Oriente ",50,,"Lunes a viernes de 8:30 a 16:00 ",,,,," Teocaltiche Presidencia Municipal Oriente 50 47200 013467874471 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Altos Norte ",San Juan de los Lagos,"Segovia ",8,3,"Lunes a viernes de 8:30 a 16:00 ",,,21.2457129,-102.333528," San Juan de los Lagos Segovia 8 3 47000 013957258077 Lunes a viernes de 8:30 a 16:00 21.2457129-102.333528 ",2013-04-23T20:55:53Z
"Procuradurí­a Social oficina del la Coordinación Regional Zona Altos Norte ",Encarnación de Dí­az,Juárez,129,B,"Lunes a viernes de 8:30 a 16:00 ",,,,," Encarnación de Dí­az Juárez 129 B 47270 014759536462 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
Procuradurí­a Social Coordinación Regional Zona Altos Norte,Lagos de Moreno,"Luis Moreno ",364,,"Lunes a viernes de 8:30 a 16:00 ",,,,," Lagos de Moreno Luis Moreno 364 47400 014747465858 Lunes a viernes de 8:30 a 16:00 ",2013-04-23T20:55:53Z
Dirección de Posgrado,Guadalajara,,,,,,,,," Guadalajara 30-30-76-16, Ext. 57617 ",2013-04-23T20:55:56Z
Dirección de Unidades de UPN,Guadalajara,,,,,,,20.6596492,-103.34962510000003," Guadalajara 3030-7610, Ext. 57663 20.6596492-103.34962510000003 ",2013-04-23T20:55:56Z
Dirección de Vinculación y Articulací­ón con Programas de Formación Continua,Guadalajara,"Av. Avila Camacho 6to. Piso\, Col. Miraflores",1015,,De 9:00 a 18:00 horas.,,,,," Guadalajara Av. Avila Camacho 6to. Piso, Col. Miraflores 1015 (01 33) 38 19 27 00, ext 25392, 22724 y 25394 De 9:00 a 18:00 horas. ",2013-04-23T20:55:56Z
Dirección de Desarrollo Académico,Guadalajara,"Av. ívila Camacho\, 6o. Piso.",1015,,De 9:00 a 19:00 horas.,,,,," Guadalajara Av. ívila Camacho, 6o. Piso. 1015 3819-5956 De 9:00 a 19:00 horas. ",2013-04-23T20:55:56Z
Dirección de Gestión y Desarrollo Institucional de Educación Normal,Guadalajara,"Av. Avenida Alcalde\, Edificio C\, Col. Miraflores",1351,,,,,,," Guadalajara Av. Avenida Alcalde, Edificio C, Col. Miraflores 1351 38 19 27 15 ",2013-04-23T20:55:56Z
Dirección Académica de Educación Normal,Guadalajara,"Av. Prolongación Alcalde Edif. ",1351,,De 9:00 a 20:00 hrs.,,,,," Guadalajara Av. Prolongación Alcalde Edif. 1351 38-19-27-15 De 9:00 a 20:00 hrs. ",2013-04-23T20:55:56Z
